EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Thohoyandou,Hand wipes,LC Palesa Poject and sevices,2017/132166/07,pice quotation,23/03/2020,26000.00,,,,,
Thohoyandou,Scane,LC Palesa Poject and sevices,2017/132166/07,pice quotation,20/03/2020,6970.00,,,,,
Thohoyandou,Sugical gloves,Pomed technologies,2014/098098/07,T32-2019,18/03/2020,3680.00,,,,,
Thohoyandou,N95 Mask,Leoa Medical,2017/162066/07,T32-2019,23/03/2020,14980.00,,,,,
Thohoyandou,Scub Suit Non-Steile,Evegeen,2002/057771/23,T76-2020,20/02/2020,11840.00,,,,,
Thohoyandou,Sugical gown Medium,Evegeen,2002/057771/23,T76-2020,20/02/2020,11841.00,,,,,
Thohoyandou,Sugical gown Lage,Evegeen,2002/057771/23,T76-2020,20/02/2020,2960.00,,,,,
Thohoyandou,Scub Suit Long Sleeve Medium,Evegeen,2002/057771/23,T76-2020,20/02/2020,2961.00,,,,,
Thohoyandou,themomete  infaed & Battey,Kingdom and Devine Tading & Po,2e0ct10/065902/23,pice quotation  deviation appoved,20/03/2020,5520.00,,,,,
Thohoyandou,Safety Boots,BBF Safety Goup,2014/095914/07,T59-2019,20/03/2020,9861.00,,,,,
Thohoyandou,Safety Boots,BBF Safety Goup,2014/095914/07,T59-2019,20/03/2020,9861.00,,,,,
Thohoyandou,Safety Boots,BBF Safety Goup,2014/095914/07,T59-2019,20/03/2020,3287.00,,,,,
Thohoyandou,Safety Boots,BBF Safety Goup,2014/095914/07,T59-2019,20/03/2020,1643.50,,,,,
Thohoyandou,Heavy Duty Gloves,BAS PHAMACEUTICAL,2012/056577/07,T300-2017,20/03/2020,44316.00,,,,,
Thohoyandou,Sugical masks,BAS PHAMACEUTICAL,,T300-2017,20/03/2020,86792.00,,,,,
Thohoyandou,Scanne,Dikgabiso,2010/096072/23,pice quotation,23/03/2020,6000.00,,,,,
Thohoyandou,Face Mask,Dikgabiso,2010/096072/23,pice quotation,23/03/2020,13495.00,,,,,
Thohoyandou,Oveall,Fulufulu tading and poject,2013/077571/07,pice quotation  deviation appoved,25/03/2020,226200.00,,,,,
Thohoyandou,Goggles,Fulufulu tading and poject,2013/077571/07,pice quotation  deviation appoved,25/03/2020,150000.00,,,,,
Thohoyandou,Spactecles,Fulufulu tading and poject,2013/077571/07,pice quotation  deviation appoved,25/03/2020,48950.00,,,,,
Thohoyandou,N95 Mask,Fulufulu tading and poject,2013/077571/07,pice quotation  deviation appoved,25/03/2020,65000.00,,,,,
Thohoyandou,Pape towel,Pomed technologies,2017/162066/07,T14-2019,20/03/2020,31576.00,,,,,
Thohoyandou,Scub Suit Non-Steile,POMED TECHNOLOGIES,2014/162486/07,T32-2019,20/03/2020,4071.00,,,,,
Thohoyandou,Sugical gown,POMED TECHNOLOGIES,2014/162486/07,T32-2019,20/03/2020,16198.00,,,,,
Thohoyandou,Sugical gown,POMED TECHNOLOGIES,2014/162486/07,T32-2019,20/03/2020,30979.00,,,,,
Thohoyandou,Sugical gown,Logan Medical,2012/056508/07,T32-2019,23/03/2020,19160.00,,,,,
Thohoyandou,Scub Suit Long Sleeve Medium,Logan Medical,2012/056508/07,T32-2019,23/03/2020,5545.60,,,,,
Thohoyandou,Heavy duty gloves,"Kingdom and Devine Tading &
Poject",2010/065902/23,pice quotation  deviation appoved,20/03/2020,3500.00,,,,,
Thohoyandou,Wate Bottle Dispense 25L,Thohoyandou Fam City,2016/368421/07,pice quotation,20/03/2020,9020.00,,,,,
Thohoyandou,Spay Bottle 2L,Thohoyandou Fam City,2016/368421/07,pice quotation,20/03/2020,8684.00,,,,,
Thohoyandou,Plastic Apon,Cental MedicalL (pty) ltd,1995/003785/07,T32-2019,20/03/2020,8000.00,,,,,
Thohoyandou,Oveshoe single use,"Medical Intenational
Othopaedic",2007/023366/23,T32-2019,23/03/2020,4230.60,,,,,
TOTAL AMOUNT,,,,               1 1095455.88,,,,,,,
FEE STATE AND NOTHEN CAPE,,,,,,,,,,,
EGION,,,,,,,,,,,
ITEM DESCIPTION,NAME OF SUPPLIE,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE NUMBE,ODE DATE,UNIT OF MEASUE,ODE,UNIT PICE,ODE VALUE,,
,,,('TANSVESAL CONTACT NO/SUPPLIE,,,,QUANTITY,,,,
,,,IDENTIFIED BY TEASUY/DEVIATION/,,,,,,,,
,,,POCUEMENT METHOD),,,,,,,,
GOEDEMOED,,,,,,,,,,,
Gloves sugical  (each),Evegeen Latex,2002/057771/23,T 76-2019,GDM 445,2020.03.18,Each Pai,4,1.56,6240.00,,
Hand sanitize,Bas Phamace,2012/056577/07,T300,GDM434,2020.03.19,each,2,16.41,32820.00,,
Tempeatue Scanne,East View Tading,2007/116803/23,Quotation,GDM442,3/20/2020,Each,5,1890.00,9450.00,,
Mask N95 (each),Lechoba Medical Technology,2005/044442/07,T 32-2019,GDM433,3/20/2020,Each,5,18.75,93750.00,,
Sanitize  Hand (Pe lite),Tipple N Medical Distibutions,2011/129850/07,T 300,GDM435,3/20/2020,Lite,2,84.33,168660.00,,
Disposable Gown,AG Technologies,2017/162066/07,T 32-2019,GDM436,3/20/2020,Each,2,75.00,150000.00,,
Full face shield (Potective goggles ),AG Technologies,2017/162066/07,T 32-2020,GDM444,3/21/2020,Each,850,28.00,23800.00,,
Ove shoe non woven (single use),Medical Intenational,2007/023366/23,T 32-2019,GDM447,3/25/2020,Each,100,19.23,1923.00,,
Non Steile Golves,Evegeen Latex,2002/057771/23,T 76-2019,GDM445,3/18/2020,Each,4,1.56,6240.00,,
Sleeve potecto (single use),Medi-Coe Technologies,2013/198711/07,T 32-2019,GDM448,3/25/2020,Each,10,0.22,2200.00,,
boot coves,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,bov,50,1.30,6500.00,,
digital themometes,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,10,1888.50,18885.00,,
biohazad bags,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,20,1.80,36000.00,,
shoe sting bags,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,1,25.50,25500.00,,
COVEALLS L,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,300.11,75027.00,,
COVEALLS XL,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,300.11,75027.00,,
COVEALLS XXL,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,300.11,75027.00,,
COVEALLS XXXL,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,300.11,75027.00,,
APON PLASTIC FULL BODY SINGLE USE,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,100,170.00,17000.00,,
EYE POTECTION GOGLES,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,600,89400.00,89400.00,,
VISO DISPOSABLE,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,500,37500.00,37500.00,,
GOWNS ISOLATION,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,2,128500.00,128500.00,,
SUGICAL MASKS,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,100,511.00,511100.00,,
N95 MASKS,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,100,2986.50,298650.00,,
KN95 MASK,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,500,413.00,206800.00,,
EXAMINATION GLOVES023,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,278.00,139900.00,,
EXAMINATION GLOVES024,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,278.00,139900.00,,
EXAMINATION GLOVES025,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,278.00,139900.00,,
Gloves sugical  (each),IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,box,50,138.00,6900.00,,
Gloves sugical  (each),IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,box,50,138.00,6900.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,138.00,6900.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,138.00,6900.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,138.00,6900.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,138.00,6900.00,,
BP CUFF,STAT TAKEN MEDICAL,,T4-2017,GDM472,5/4/2020,each,6,902.85,5417.10,,
SUNCTION UNIT MOBILE,ECOMED MEDICAL,2016/084766/07,T 2-2016,GDM474,5/4/2020,each,2,5266.48,10532.96,,
PULSE OXIMETE,ECOMED MEDICAL,2016/084766/07,T2-2016,GDM1012,5/7/2020,each,4,10112.18,40448.72,,
AMBUBAG,ECOMED MEDICAL,2016/084766/07,T4-2017,GDM1015,5/7/2020,EACH,2,321.80,643.60,,
LAYNGOSCOPE,UNICOE HOLDINGS,2011/000574/07,T4-2017,GDM1013,2020.05.07,EACH,2,1682.87,3365.74,,
Mask Dust,Lechoba Medical Technology,2005/044442/07,COVID19,GDM014505,2020.06.29,Box,5,18.75,93750.00,,
Coveall Small,AC Technologies,2017/162066/07,COVID19,GDM014506,2020.06.29,EACH,194,575.00,111550.00,,
Coveall,ALFEHUTCH TADING,2008/130764/23,COVID19,GDM440,2020.03.20,each,2,89.76,179520.00,,
COLESBEG,,,,,,,,,,,
MASK SUGICAL,C &S SUPPLIES,2013/046169/07,T 296-2020,DA-005037,202003.21,EACH,15,26.65,39975.00,,
SANITIZE DISINFECTED,C &S SUPPLIES,2013/046169/07,T 296-2020,DA-005038,2020.03.21,250ML,500L,40.37,20185.00,,
SUFACE SANITIZE,C &S SUPPLIES,2013/046169/07,T 296-2020,DA-005038,2020.03.21,20 L,200L,1069.10,21382.00,,
HAND SANITIZE,C &S SUPPLIES,2013/046169/07,DEVIATION,CL-006372,2020.03.16,250ML,390L,39.90,15561.00,,
DISPOSABLE OVEALL,C &S SUPPLIES,2013/046169/07,DEVIATION,CL-006372,2020.03.16,EACH,50,218.50,10925.00,,
SAFETY GOGGLES,SJ 75 MOHALE CONT,2019/522428/07,DEVIATION,CL-006372,2020.03.16,EACH,10,39.00,390.00,,
N95 MASK,SJ 75 MOHALE CONT,2019/522428/07,DEVIATION,CL-006372,2020.03.16,EACH,100,15.00,1500.00,,
GLOVES YELLOW,OVISH OVISH,2016/046562/07,DEVIATION,CL-006372,2020.03.16,PAIS,50,10.00,500.00,,
BLEACH,IMPEIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006372,2020.03.16,25 L,125,200.00,1000.00,,
HAND SANITIZE,IMPEIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,5L,50,700.00,7000.00,,
DISPOSABLE OVEALL,IMPEIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,EACH,50,220.00,11000.00,,
HAND SANITIZE,IMPEIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006374,2020.03.25,5L,200,700.00,28000.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCES,1993/003465/07,T CONTACT,CL-006375,2020.04.20,PAIS,500,138.00,1380.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCES,1993/003465/07,T CONTACT,CL-006375,2020.04.20,PAIS,500,138.00,1380.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCES,1993/003465/07,T CONTACT,CL-006375,2020.04.20,PAIS,350,250.00,1750.00,,
SUGICAL GLOVES,IMPEIAL HEALTH SCIENCES,1993/003465/07,T CONTACT,CL-006375,2020.04.20,PAIS,350,250.00,1750.00,,
EXAMINATION GLOVES,IMPEIAL HEALTH SCIENCES,1993/003465/07,T CONTACT,CL-006375,2020.04.20,PAIS,300,278.00,1668.00,,
BIOHAZAD BAGS,"IMPEIAL LOGISTICS SOUTH AFICA
GOUP",1993/003465/07,T CONTACT,CL-006375,2020.04.20,EACH,300,1.80,540.00,,
N95 MASK ESPIATO,BIOLOGICAL PHAMACETICAL,2013/067392/07,T CONTACT,CL-006375,2020.04.20,EACH,50,2986.50,14932.50,,
DIGITAL THEMOMETE,BIOLOGICAL PHAMACETICAL,2013/067392/07,T CONTACT,CL-006375,2020.04.20,EACH,8,1888.50,15108.00,,
SANITISES AND DISINFECTANTS,BIOLOGICAL PHAMACETICAL,2013/067392/07,T CONTACT,CL-006375,2020.04.20,25L,175,1635.45,11448.15,,
Examination Gloves - type 2 L,BIOLOGICAL PHAMACETICAL,2013/067392/07,YES,AC-765154,2020.04.21,Box of 100,20,278.00,5560.00,,
MASK SUGICAL,BIOLOGICAL PHAMACETICAL,2013/067392/07,T 296-2020,CL-006493,202007.17,EACH,5,26.65,"""133250.00",,
SUGICAL GLOVES,BIOLOGICAL PHAMACETICAL,2013/067392/07,T 296-2020,CL-006493,202007.17,PAIS,25,4.40,11000.00,,
,,,,,,,,,,,
GOENPUNT,,,,,,,,,,,
Sugical Mask,Alfehutch Tading,2008/130764/23,T32-2019,V-006445,3/27/2020,Box of 50,8,294.54,2356.32,,
Sugical Mask,Multi Suge (Pty)Ltd,N/A,T76-2020,G-0005062,3/27/2020,Box of 50,100,460.00,46000.00,,
Sugical Mask,Safamex,2007/033535/07,T32-2019,G-012938,6/12/2020,Box of 50,200,119.73,23946.00,,
N95 Mask,Chemical Wold,2019/253242/07,T32-2019,SA-005630,3/20/2020,Box of 50,400,14.95,5980.00,,
N95 Mask,Chemical Wold,2019/253242/07,T32-2019,G-012696,3/20/2020,Box of 30,200,14.95,2990.00,,
N95 Mask,Cental Medical (Pty)Ltd,1995/003785/07,T32-2019,G-012703,3/20/2020,Box of 30,100,14.95,1495.00,,
N95 Mask,"BIOLOGICO PHAMACEUTICALS (PTY)
LTD",N/A,T296-2020,G-0005088,3/31/2020,Box of 30,200,26.65,5330.00,,
Alcohol based hand sanitise,Bas Phamaceutical Industies,N/A,T300-2017,G-012697,3/20/2020,500ml,480,15.79,7579.20,,
Alcohol based hand sanitise,Unitade 1032 CC,N/A,TCovid-19,G-0005063,4/1/2020,500ml,1,62.10,62100.00,,
Alcohol based hand sanitise,Bas Phamaceutical Industies,N/A,T300-2017,G-012708,3/20/2020,500ml,100,15.92,1592.00,,
Alcohol based hand sanitise,Unitade 1032 CC,1998/002665/23,T300-2017,SA-005622,3/19/2020,500ml,2,16.41,32820.00,,
Alcohol based hand sanitise,Bas Phamaceutical Industies,N/A,T300-2017,V-006423,3/19/2020,500ml,750,15.79,11842.50,,
Alcohol based hand sanitise,"Stix Tanspot Sevices & Geneal
Deale",2014/213000/07,Deviation,N697015,4/1/2020,bottle,200,135.00,27000.00,,
Biocide D/Bleach,Thee40 Tading,2018/389965/07,Nomal Pice quotation,N697017,4/6/2020,Lite,1,17.50,17500.00,,
Gloves,Evegeen Latex,2002/057771/23,T76-2020,SA-005615,3/18/2020,Box of 100,75,0.50,3739.50,,
Gloves,Evegeen Latex,2002/057771/23,T300-2017,V-006436,3/19/2020,Box of 100,730,92.00,67160.00,,
Gloves,MediCat,2016/534688/07,Deviation,G-0005079,7/2/2020,Box of 100,2,2.65,5290.00,,
Gloves,Pomed Technologies,2014/162488/07,T76-2020,G-0005085,3/31/2020,Box of 100,200,46.60,9320.00,,
Gloves,Evegeen Latex,2002/057771/23,T76-2020,G-012700,3/20/2020,Box of 100,100,50.82,5082.00,,
Gloves,Evegeen Latex,2002/057771/23,T76-2020,G-0012695,3/20/2020,Box of 100,100,49.86,4986.00,,
Spay bottle,Bas Phamaceutical Industies,N/A,T300-2017,G-012704,3/20/2020,500ml,100,21.15,2115.00,,
Infaed Tempatue Scanne,Multi Suge (Pty)Ltd,N/A,T76-2020,G-0005062,3/27/2020,ea,10,2300.00,23000.00,,
Suface sanitise,Bas Phamaceutical Industies,N/A,T300-2017,G-012702,3/20/2020,5L,100,14.01,1401.00,,
Disposable Apons,Cental Medical (Pty)Ltd,1995/003785/07,T32-2019,G-0005087,3/31/2020,ea,2,0.32,640.00,,
Disposable Gowns,"Lechoba Medical Technologies
(Pty)Ltd",2005/04444/07,T76-2020,G-0005086,3/31/2020,ea,200,59.95,11990.00,,
Disposable Gowns,Logan Medical and Sugical,2012/056508/07,T300-2017,G-012933,6/12/2020,ea,3,6.90,20700.00,,
Disposable Gowns (Isolation),MediCat,2016/534688/07,Deviation,G-0005079,7/2/2020,ea,200,75.67,15134.00,,
Covealls,MediCat,2016/534688/07,Deviation,G-0005079,7/2/2020,ea,500,121.90,60950.00,,
Boot coves,Medical Intenational Othopaedic,2007/023366/23,T300-2017,G-012937,6/12/2020,Box of 100,100,19.23,1923.00,,
Flu Vaccine,Kahma Biotech (pty)Ltd,1997/014365/07,T76-2020,G-0005089,3/30/2020,ea,1,39.93,39930.00,,
Pape towel,Pomed Technologies,,T14,SA-005621,3/19/2020,ea,340,55.75,18955.00,,
Faceshield,MediCat,2016/534688/07,Deviation,G-0005079,7/2/2020,ea,100,69.23,6923.00,,
Mop Caps,MediCat,2016/534688/07,Deviation,G-0005079,7/2/2020,ea,1,0.75,750.00,,
,,,,,,,,,,,
GOOTVLEI,,,,,,,,,,,
"SUGICAL GLOVES STEILE TYPE 1 SIZE 6
(UBBE LATEX)",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,20,138.00,2760.00,,
"SUGICAL GLOVES STEILE TYPE 1 SIZE
6.5",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,30,138.00,4140.00,,
SUGICAL GLOVES STEILE TYPE 1 SIZE 7,Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,30,138.00,4140.00,,
"SUGICAL GLOVES STEILE TYPE 1 SIZE
7.5",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,30,138.00,4140.00,,
SUGICAL GLOVES STEILE TYPE 1 SIZE 8,Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,30,138.00,4140.00,,
"SUGICAL GLOVES STEILE TYPE 1 SIZE
8.5",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,20,138.00,2760.00,,
SUGICAL GLOVES STEILE TYPE 1 SIZE 9,Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,50 PAIS,10,138.00,1380.00,,
"EXAMINATION GLOVES TYPE 1 SIZE
SMALL",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,BOX OF 100,20,278.00,5560.00,,
"EXAMINATION GLOVES TYPE 1 SIZE
MEDIUM",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,BOX OF 100,40,278.00,11120.00,,
EXAMINATION GLOVES TYPE 1 SIZE LAGE,Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,BOX OF 100,40,278.00,11120.00,,
"EXAMINATION GLOVES TYPE 1 SIZE X-
LAGE",Impeial Logistics South Afica,1993/003465/07,"National Teasuy Instuction No 03 of 2020/2021 Pa
4",GV - 004045,Not Known Yet,BOX OF 100,20,278.00,5560.00,,
EXAMINATION GLOVES TYPE 2 SIZE,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
SMALL,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,20,,278.00,,5560.00
EXAMINATION GLOVES TYPE 2 SIZE,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
MEDIUM,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,,278.00,,11120.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
EXAMINATION GLOVES TYPE 2 SIZE LAGE,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,,278.00,,11120.00
EXAMINATION GLOVES TYPE 2 SIZE X-,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
LAGE,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,20,,278.00,,5560.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
SUGICAL FACE MASK ASEPTIC BLUE,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,40,,511.00,,20440.00
SUGICAL MASK SINGLE USE WITH,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
ELASTIC EA,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,20,,624.00,,12480.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
N95 MASK - ESPIATO,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,10,,2986.50,,29865.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
KN95 MASK - ESPIATODUST MASK,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 10,10,,413.60,,4136.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
APON PLASTIC FULL BODY SINGLE USE,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,60,,170.00,,10200.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
EYE POTECTION GOGGLES,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,80,,149.00,,11920.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
VISO DISPOSABLE,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,160,,75.00,,12000.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
ISOLLATION GOWNS,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,600,,64.25,,38550.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
SANITIZE 25 LITE,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV-004048,Not Known Yet,25 LITE,40,,1635.45,,65418.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
GOWN SUGICAL NON-WOVEN,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,200,,135.00,,27000.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
BOOT COVES,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,,130.00,,5200.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
SPAY BOTTLES,,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV-004048,Not Known Yet,500ML,300,,24.50,,7350.00
,,,National Teasuy Instuction No 03 of 2020/2021 Pa,,,,,,,,
DIGITAL THEMOMETE (INFAED),,,,,,,,,,,
,Impeial Logistics South Afica,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,20,,1888.50,,37770.00
Hand sanitize,,,,,,,,,,,
,Biological Phama,2013/067392/07,T 296-2020 item 08-271,GV-004001,4/8/2020,Pack,1000,,26.65,,26650.00
Mask Sugical,,,,,,,,,,,
,Allenco medical,2001/068091/23,covid19 - 004,GV-004021,4/9/2020,Each,3000,,9.00,,27000.00
Masks N95,,,,,,,,,,,
,Lioa Medical,2011/013434/23,T 32 item 42295407-0003,GV-020125,3/20/2020,Box of 30,197,,5.35,,1053.95
Goggles,,,,,,,,,,,
,Lechoba Medical Technologies,2005/044442/07,Covid19-016,GV-020098,4/9/2020,Each,80,,65.90,,5272.00
ISOLLATION GOWNS,,,,,,,,,,,
,wokhose Wokwea,2015/295425/07,pice quotation,GV-020285,5/5/2020,EACH,60,,100.03,,6003.00
Gloves examination steile,,,,,,,,,,,
,Evegeen latex,2002/057771/23,T76 item 42132203-000039,GV-020128,3/20/2020,Boxes of 100,99,,92.00,,9108.00
Gloves Sugical Steile Type 2,,,,,,,,,,,
,Medtex (Pty) Ltd,1992/003572/07,T76 item 42132205-0002122232425,GV-004032,4/15/2020,Box of 100,80,,495.08,,39606.40
Gloves Sugical Steile Type 1,,,,,,,,,,,
,Supa Healthcae Jhb,2007/027848/07,T76 item 42132205-0029303132333435,GV-004033,4/15/2020,Box of 100,100,,245.38,,24538.00
Gloves clea plastic sugical Type 1,,,,,,,,,,,
,Supa Healthcae Jhb,2007/027848/07,Covid19 - 001,GV-020217,4/15/2020,Box of 100,600,,99.88,,59928.00
Ovealls,,,,,,,,,,,
,Tumey Consulting,2008/222244/23,pice quotation,GV-020298,5/4/2020,each,45,,247.83,,11152.35
Hand sanitize,,,,,,,,,,,
,Bas Phamaceuticals,2012/056577/07,T300  item 51284804-00002,GV-020126,3/20/2020,500ml,3100,,16.41,,50871.00
Sugical Scubs,,,,,,,,,,,
,Bas Phamaceuticals,2012/056577/07,T 300 item 51472802-0000,GV-004026,4/14/2020,500ml,300,,21.15,,6345.00
Towel pape,,,,,,,,,,,
,Pomed Technologies,2014/162486/07,T14 item 14111703-000003,GV-020144,5/5/2020,,500,,31.75,,15875.00
Towel pape,,,,,,,,,,,
,Pomed Technologies,2014/162486/07,T14 item 14111703-000003,GV-020144,3/25/2020,Each,500,,38.00,,18550.00
Gowns Hospital shot sleeve,,,,,,,,,,,
